Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude
Burma Burma,"Asian, Burmese, Bubble Tea, Salad, Tea, Desserts, Ice Cream, Beverages",1500," Indiranagar, Bangalore",4.9,2790,4.5,838,https://www.zomato.com/bangalore/burma-burma-indiranagar-bangalore,"607, Ground Floor, 12th Main, Hal 2nd Stage, Indiranagar, Bangalore",9.18E+11,12.97039445,77.6447133
Windmills Craftworks,"Continental, Fast Food, Kebab, Beverages, Italian, Desserts",2500," Windmills Craftworks, Bangalore",4.9,6543,4.2,524,https://www.zomato.com/bangalore/windmills-craftworks-whitefield,"78, Immaine Epip Industrial Area, Whitefield Bangalore",9.19E+11,12.98241296,77.72197936
CTR Shri Sagar,South Indian,150," Malleshwaram, Bangalore",4.9,4837,4.3,22100,https://www.zomato.com/bangalore/ctr-shri-sagar-malleshwaram-bangalore,"7th Cross, Margosa Road, Malleshwaram, Bangalore",9.18E+11,12.99827011,77.56945521
Brahmin's Coffee Bar,South Indian,100," Basavanagudi, Bangalore",4.9,2975,4.4,372,https://www.zomato.com/bangalore/brahmins-coffee-bar-basavanagudi,"Ranga Rao Road, Near Basavanagudi, Bangalore",9.20E+11,12.95404312,77.56886512
Milano Ice Cream,"Desserts, Ice Cream, Beverages",400," Indiranagar, Bangalore",4.9,2575,4.4,1180,https://www.zomato.com/bangalore/milano-ice-cream-indiranagar,"460, 2nd Cross, Krishna Temple Road, Indiranagar, Bangalore",9.18E+11,12.97912104,77.64403872
BelgYum,Desserts,400," Phoenix Marketcity Bangalore, Whitefield, Bangalore",4.9,1858,,0,https://www.zomato.com/bangalore/belgyum-whitefield,"16 106/107, 1st Floor, Pheonix Market City, Main Road, Whitefield, Bangalore",9.18E+11,12.99763172,77.6968206
Lot Like Crepes,"Desserts, Fast Food, Beverages",500," Koramangala 7th Block, Bangalore",4.9,1083,3.9,365,https://www.zomato.com/bangalore/lot-like-crepes-koramangala-7th-block,"203, 1st Main, Koramangala 7th Block, Bangalore",9.18E+11,12.93658526,77.61346791
Truffles,"Cafe, American, Coffee, Steak, Beverages, Fast Food",900," Koramangala 5th Block, Bangalore",4.8,16600,,0,https://www.zomato.com/bangalore/truffles-koramangala-5th-block,"28, 4th B Cross, Koramangala 5th Block, Bangalore",9.18E+11,12.93343554,77.61434499
Bologna,"Italian, Desserts",1600," Indiranagar, Bangalore",4.8,1306,4.3,234,https://www.zomato.com/bangalore/bologna-indiranagar-bangalore,"759, 1st Floor, 100 Feet Road, Indiranagar, Bangalore",9.18E+11,12.97182157,77.64110304
Pasta Street,"Italian, European, Pizza, Pasta, Salad, Desserts, Beverages",1500," Koramangala 4th Block, Bangalore",4.8,1842,4.1,1252,https://www.zomato.com/bangalore/pasta-street-koramangala-4th-block-bangalore,"751, 80 Feet Road, Opposite SBI Bank, Koramangala 4th Block, Bangalore",9.18E+11,12.93296695,77.63111752
Chianti,"Italian, Pasta, Pizza",2000," Indiranagar, Bangalore",4.8,4814,4.5,165,https://www.zomato.com/bangalore/chianti-2-indiranagar,"960, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",9.18E+11,12.97021802,77.64030542
Santé Spa Cuisine,"Mediterranean, Italian, European, Desserts, Beverages",1500," Domlur, Bangalore",4.8,877,4,178,https://www.zomato.com/bangalore/santé-spa-cuisine-domlur-bangalore,"151, 2nd Cross, 2nd Stage, Domlur, Bangalore",9.18E+11,12.96396971,77.63859853
Arogya Ahaara,South Indian,100," HSR, Bangalore",4.8,809,3.9,830,https://www.zomato.com/bangalore/arogya-ahaara-hsr,"108, 4th Cross, 13th Main, Jakkasandra, 5th Sector, HSR, Bangalore",9.18E+11,12.91804385,77.63768893
Brik Oven,"Cafe, Italian, Fast Food, Desserts",1000," Church Street, Bangalore",4.8,2798,4.1,543,https://www.zomato.com/bangalore/brik-oven-church-street,"19, Brigade Garden, Shanti Nagar, Church Street, Bangalore",9.19E+11,12.97472511,77.60541189
Corner House Ice Creams,"Desserts, Ice Cream, Beverages",300," Indiranagar, Bangalore",4.8,2401,4.5,14500,https://www.zomato.com/bangalore/corner-house-ice-creams-indiranagar-bangalore,"3283, 2nd Stage, Off Double Road, Indiranagar, Bangalore",9.20E+11,12.9702177,77.6376145
Natural Ice Cream,"Ice Cream, Beverages, Desserts",300," Indiranagar, Bangalore",4.8,1144,4.6,946,https://www.zomato.com/bangalore/natural-ice-cream-indiranagar,"2984, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",9.20E+11,12.9703033,77.64449771
Biergarten,"Continental, European, BBQ, Chinese, Asian",2000," Koramangala 5th Block, Bangalore",4.7,6936,3.9,139,https://www.zomato.com/bangalore/biergarten-koramangala-5th-block,"4th B Cross Road, Appek Building, Koramangala Industrial Layout, Koramangala 5th Block, Bangalore",9.18E+11,12.93347017,77.61418238
Byg Brewski Brewing Company,"Continental, North Indian, Italian, South Indian, Finger Food, Pizza",1600," Sarjapur Road, Bangalore",4.7,25500,4.3,13400,https://www.zomato.com/bangalore/byg-brewski-brewing-company-sarjapur-road-bangalore,"10/61/2A/2 & 10/62/2A/3, Doddakannenahalli, Sarjapur Road, Bangalore",9.18E+11,12.91293443,77.68290594
Street Storyss,"Fast Food, North Indian, Italian, Desserts, Beverages",1700," Indiranagar, Bangalore",4.7,876,4.3,240,https://www.zomato.com/bangalore/street-storyss-indiranagar-bangalore,"3155, HAL 2nd Stage, Indiranagar, Bangalore",9.20E+11,12.9703266,77.6357265
Hard Rock Cafe,"American, Continental, Fast Food, Beverages",2800," St. Marks Road, Bangalore",4.7,5950,4,143,https://www.zomato.com/bangalore/hard-rock-cafe-st-marks-road,"4 & 16, St. Marks Road, Bangalore",9.18E+11,12.97606334,77.60155186
Arbor Brewing Company,"American, Continental, Fast Food, Beverages",2000," Brigade Road, Bangalore",4.7,8938,4,59,https://www.zomato.com/ArborBrewIndia,"8, 3rd Floor, Allied Grande Plaza, Diagonally, Opposite Garuda Mall, Brigade Road, Bangalore",9.18E+11,12.9704219,77.61105794
AB's - Absolute Barbecues,"North Indian, Mangalorean, BBQ, Street Food, Desserts, Salad, Beverages",1200," BTM, Bangalore",4.7,7881,3.9,401,https://www.zomato.com/bangalore/abs-absolute-barbecues-btm,"Near Jayadeva Flyover, 100 Feet Road, 1st Phase, 2nd Stage, BTM, Bangalore",9.17E+11,12.9163576,77.60477956
Mavalli Tiffin Room (MTR),"South Indian, Beverages",250," Basavanagudi, Bangalore",4.7,3228,,0,https://www.zomato.com/bangalore/mavalli-tiffin-room-mtr-basavanagudi-bangalore,"14, Lalbagh Road, Mavalli, Basavanagudi, Bangalore",9.18E+11,12.95490768,77.58568022
The Fatty Bao,"Asian, Japanese, Sushi, Chinese, Thai, Momos, Beverages",1200," Indiranagar, Bangalore",4.7,4340,4.3,3472,https://www.zomato.com/bangalore/the-fatty-bao-indiranagar-bangalore,"610, 3rd Floor, 12th Main, Off 80 Feet Road, Indiranagar, Bangalore",9.18E+11,12.97033695,77.64527254
Smoke House Deli,"Italian, European, American, Beverages, Continental",2000," Lavelle Road, Bangalore",4.7,3017,4.4,1111,https://www.zomato.com/SmokeHouseDeli-LavelleRoad,"52/ 53, Ground Floor, Lavelle Road, Bangalore",9.18E+11,12.9716667,77.59839457
Mainland China,"Chinese, Asian, Seafood",1800," Whitefield, Bangalore",4.7,2715,4.1,2047,https://www.zomato.com/bangalore/mainland-china-whitefield,"28/2, 1st Floor, Siddapura, Whitefield Main Road, Whitefield, Bangalore",9.19E+11,12.95567127,77.72527816
Toast & Tonic,"European, Asian, Bar Food, Beverages, Desserts",2000," Richmond Road, Bangalore",4.7,1301,4,86,https://www.zomato.com/bangalore/toast-tonic-richmond-road-bangalore,"14/1, Wood Street, Ashok Nagar, Richmond Road, Bangalore",9.18E+11,12.96657733,77.60869961
SMOOR,"Italian, Thai, Pizza, Fast Food, Desserts, Beverages",900," Indiranagar, Bangalore",4.7,2086,4.4,3577,https://www.zomato.com/bangalore/smoor-2-indiranagar-bangalore,"1131, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",9.18E+11,12.96993083,77.64142055
Yauatcha,"Chinese, Asian",2000," 1 MG Road Mall, MG Road, Bangalore",4.7,2894,4,91,https://www.zomato.com/bangalore/yauatcha-mg-road,"Level 5, 1 MG Lido Mall, MG Road, Bangalore",9.19E+11,12.97351365,77.62020294
Here & Now,"Cafe, American, Burger, Sandwich, Desserts, Beverages",900," HSR, Bangalore",4.7,1869,4,304,https://www.zomato.com/bangalore/here-now-hsr,"28, MCH Society, Sector 4, HSR, Bangalore",9.19E+11,12.91356874,77.63820257
Once Upon A Flame,"Steak, Continental, Fast Food, BBQ, Beverages",1400," HSR, Bangalore",4.7,2401,4.3,2248,https://www.zomato.com/bangalore/once-upon-a-flame-hsr,"36, 1st Floor, 14th Main Road, 7th Sector, HSR, Bangalore",9.18E+11,12.91189129,77.6380631
Taaza Thindi,South Indian,100," Banashankari, Bangalore",4.7,866,,0,https://www.zomato.com/bangalore/taaza-thindi-banashankari,"115, 100 Feet Ring Road, Kathriguppe, Banashankari, Bangalore",9.18E+11,12.92623505,77.54873414
Belgian Waffle Factory,Desserts,300," Brigade Road, Bangalore",4.7,2133,3.9,2538,https://www.zomato.com/bangalore/belgian-waffle-factory-brigade-road,"65, Markham Road, Ashok Nagar, Brigade Road, Bangalore",9.19E+11,12.96977891,77.60707453
Chinita Real Mexican Food,"Mexican, Salad, Desserts, Beverages",1200," Indiranagar, Bangalore",4.7,2827,4.5,547,https://www.zomato.com/bangalore/chinita-real-mexican-food-indiranagar,"218, Double Road, 2nd Stage, Hoysala Nagar, Indiranagar, Bangalore",9.20E+11,12.98098133,77.63725977
